Name ;Facebook/twitter;Wiki;Forum;Blog;Github_text;Live chat;Discussion ;Wevolver;Thingiverse;O-O-M
Syringe Pump;https://twitter.com/Appropedia;http://www.appropedia.org/Open-source_syringe_pump;https://permies.com/forums;http://blogs.appropedia.org;0;0;http://www.appropedia.org/Appropedia:Village_pump;0;0;7
HACKberry;0;http://exiii-hackberry.com//dw/doku.php;http://exiii-hackberry.com/forums/;0;https://github.com/mission-arm/HACKberry/issues;0;0;0;0;7
UNDERWATER GLIDER;0;0;0;0;0;0;0;https://v1.wevolver.com/alex.williams/project/0d0cba1-main/guide;0;7
MakerScanner;0;0;0;0;https://github.com/andybarry/makerscanner/issues;0;0;0;https://www.thingiverse.com/thing:3946/comments;7
F-F-Fiddle;0;0;0;http://openfabpdx.com/blog/;0;0;0;0;0;7
Picolo;0;0;0;http://piccolo.cc;https://github.com/diatomstudio/piccolo/issues   https://github.com/DiatomStudio/Piccolo/tree/master/Piccolo_Software/PiccoloLib;0;0;0;0;7
Openbionics/prosthetic-hands;https://www.facebook.com/openbionics   https://twitter.com/theopenbionics;0;0;0;https://github.com/OpenBionics/Prosthetic-Hands/issues;0;0;0;0;7
3DMIN's PushPull;https://twitter.com/3dminberlin;0;0;0;0;0;0;0;0;7
Farmbot;https://twitter.com/farmbotproject;http://wiki.farmbot.org;https://forum.farmbot.org;https://farm.bot/blogs/news;https://github.com/farmbot;0;https://genesis.farm.bot/discuss;0;0;7
Recyclebot;http://www.facebook.com/Appropedia;http://www.appropedia.org/Recyclebot_v2.3;https://permies.com/forums;http://blogs.appropedia.org;0;0;0;0;1;7
LifeTrac 5;0;https://wiki.opensourceecology.org/wiki/LifeTrac_5;https://forum.opensourceecology.org;https://www.opensourceecology.org/blog-2/;0;0;https://wiki.opensourceecology.org/wiki/Talk:FAQ;0;0;7
RepRap Mendel;0;https://reprap.org/wiki/RepRap;https://reprap.org/forum/;0;0;0;https://reprap.org/wiki/Talk:RepRap;0;0;7
Open source beehives; https://twitter.com/OSBeehives   https://www.facebook.com/opensourcebeehives/;0;https://community.osbeehives.com;0;https://github.com/opensourcebeehives/CommunityProjects/issues;0;0;0;0;7
Wikispeed SGT01;0;0;0;http://wikispeed.org/2018/08/howtoscalemvps/;0;0;https://wiki.opensourceecology.org/wiki/Talk:Wikispeed_SGT01;0;0;7
NG.UAVP;0;https://ng.uavp.ch/FrontPage;https://ng.uavp.ch/forum/;0;0;https://ng.uavp.ch/Chat;0;0;0;7
AeroSeeD;0;0;0;0;https://github.com/aeroseed/urbolienne/issues;0;0;0;0;7
Pandora;0;https://pandorawiki.org/Main_Page;https://pyra-handheld.com/boards/;http://pandoralive.info;0;https://pandorawiki.org/IRC;0;0;0;7
Lasersaur;https://twitter.com/lasersaur?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Eprofile%3Alasersaur&ref_url=http%3A%2F%2Fwww.lasersaur.com%2F;https://github.com/nortd/lasersaur/wiki;https://groups.google.com/forum/#!forum/lasersaur;0;https://github.com/nortd/lasersaur/issues;0;0;0;0;7
Ultrascope;https://twitter.com/OSA_projects;0;0;http://www.openspaceagency.com/news/;0;0;0;https://v1.wevolver.com/osa.projects/ultrascope/main/description;0;7
Gigabot;https://www.facebook.com/re3Dprinting/       https://twitter.com/search?q=re3dprinting&src=typd ;http://wiki.re3d.org/index.php/Main_Page;0;0;https://github.com/amorphitec/opengb/issues;0;0;https://v1.wevolver.com/re.3d/opengb/hardware/description;0;7
PLEN2;https://twitter.com/plen_project;http://plen.jp/playground/wiki/;https://plen.jp/playground/forum/;0;https://github.com/plenprojectcompany/PLEN2/issues;0;0;0;0;7
Inventables Xcarve;0;0;https://discuss.inventables.com;0;https://github.com/inventables/x-carve-instructions/issues;0;0;0;0;7
Poppy;https://twitter.com/poppy_project?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Eprofile%3Apoppy_project&ref_url=https%3A%2F%2Fwww.poppy-project.org%2Fen%2F;0;https://forum.poppy-project.org;https://www.poppy-project.org/en/archives/;https://github.com/poppy-project;0;0;0;0;7
Farmhack;0;http://farmhack.org/tools/root-washer;http://farmhack.org/forum;http://blog.farmhack.org;0;0;0;0;0;7
Open Bug Farm;https://twitter.com/tiny_farms;https://github.com/TinyFarms/OpenBugFarm/wiki;http://www.openbugfarm.com/forum.html;0;https://github.com/TinyFarms/OpenBugFarm/issues;0;0;0;0;7
Wikihouse;https://twitter.com/WikiHouse;0;0;0;https://github.com/wikihouseproject/Microhouse/issues;https://wikihouse.typeform.com/to/OHv4SE;0;0;0;6
Echopen;https://twitter.com/echopenorg;0;0;0;https://github.com/echopen/PRJ-medtec_androidapp/issues;https://echopen.slack.com/join/shared_invite/enQtMjk4MzgxNjkyMjMxLTBiNTJjZjE5YzQzNTIwNjQ5MTdmZWUzZTdhODdiNjRhMGJhN2RmMmY3NzViZjA1Y2ZiZWIyN2IwNDI3ZDJlYjQ;0;0;0;6
OpenKnit;0;0;0;http://openknit.org;https://github.com/g3rard/OpenKnit/issues;0;0;0;0;6
Opendestk;https://twitter.com/open_desk;0;0;https://www.opendesk.cc/blog;0;0;0;0;0;6
Sunzilla;0;0;0;0;0;0;0;https://v1.wevolver.com/wevolver.moderator/pop-up-solar-generator-sunzilla-3.0/main/description;0;6
Knitic;0;0;0;http://www.varvarag.info/circular-knitic/;0;0;0;0;0;6
Eletric eel wheel;https://www.facebook.com/ElectricEelWheel;0;0;0;0;0;0;0;0;6
GEK Gasifier;https://www.facebook.com/allpowerlabs;http://wiki.gekgasifier.com/w/page/6123718/FrontPage;0;http://www.allpowerlabs.com;0;0;0;0;0;6
Precious plastic;0;0;0;0;0;0;0;0;0;6
Tiny boy;https://twitter.com/tinyboy3dp;http://wiki.tinyboy.org/view/Main_Page   https://sites.google.com/site/hk3dprinter/home/hardware/diy-3d-printer/tinyboy;0;http://www.tinyboy.net/blog/;https://github.com/HKCOTA/TinyBoy/issues;0;0;0;0;6
Multiplo;0;0;0;0;https://github.com/multiplo;0;0;0;0;6
ZenManEnergy;0;0;0;0;0;0;0;0;0;6
Open source 3D metal printer;0;http://www.appropedia.org/Open-source_metal_3-D_printer;0;0;0;0;0;0;https://www.thingiverse.com/thing:197025/;6
LirrRP;0;0;0;http://www.littlerp.com/?page_id=51;0;0;0;0;0;6
Neurobytes;0;0;0;0;0;0;0;0;0;6
Bicitractor;0;0;https://www.instructables.com/topics/;https://www.instructables.com/id/BICITRACTOR-B300-POC21-Version/;0;0;0;0;0;6
The Spine;https://twitter.com/faradaymotion;0;http://forum.faradaymotion.com;http://blog.faradaymotion.com/blog/;0;0;0;0;0;6
Solar-OSE;https://twitter.com/instructables;0;https://www.instructables.com/topics/;https://www.instructables.com/id/Solar-OSE-Solar-concentrator-for-steam-generation/;https://github.com/osefrance/SolarConcentrator/issues;0;0;0;0;6
DIYLILCNC;https://www.facebook.com/diylilcnc/;0;http://diylilcnc.org/forums/;http://diylilcnc.org/blog/;0;0;0;0;0;6
FABOOL laser CO2;0;0;0;0;0;0;0;https://v1.wevolver.com/yoshiya.arii/fabool-laser-co2/main/description;0;6
3D-printable micropipette;;0;0;;0;0;0;0;0;6
OPENtrons;https://twitter.com/OpenTrons_;0;0;https://blog.opentrons.com/?_ga=2.84984413.512073048.1536833790-115155747.1536833790;https://github.com/OpenTrons/otone_hardware/issues;0;0;0;0;6
OpenEV Charging Station;https://twitter.com/OpenEVSE/;0;https://openev.freshdesk.com/support/discussions;0;0;0;0;0;0;6
Shepard Test Stand(Open design engine);0;0;http://www.redmine.org/projects/redmine/boards;0;0;0;0;0;0;6
Mycroft Mark 1;https://twitter.com/mycroft_ai;0;https://community.mycroft.ai;https://mycroft.ai/blog/;0;0;0;0;0;6
Lixie;0;0;0;https://hackaday.io/project/18633-lixie-an-led-alternative-to-the-nixie-tube#menu-description;0;0;0;0;0;6
HROS Humanoid Endoskeleton;0;0;http://forums.trossenrobotics.com/content.php;http://blog.trossenrobotics.com;0;0;0;0;0;6
x0xb0x;0;http://www.ladyada.net/wiki/x0x:x0xd0x;https://forums.adafruit.com;https://blog.adafruit.com;0;0;0;0;0;5
Raptor Hand;0;0;0;0;0;0;0;0;https://www.thingiverse.com/thing:476403;5
BCN3D Sigma;https://twitter.com/bcn3dtech;0;https://www.bcn3dtechnologies.com/en/forums/;0;https://github.com/BCN3D/BCN3DSigma-Mechanics/issues;0;0;0;0;5
Guest studio 240 sf;0;0;0;0;0;0;0;0;0;5
Hexy;https://twitter.com/arcbotics;0;https://discourse.arcbotics.com;0;0;0;0;0;0;5
ShapeOko;0;https://www.shapeoko.com/wiki/;0;0;https://github.com/sparkfun/SparkFun_Stepoko/issues;0;0;0;0;5
LEGO(R) Bricks Michelson Interferometer;0;0;0;0;0;0;0;0;0;5
Film-Retter Inline cleaner;https://de-de.facebook.com/filmretter;0;0;https://www.super-8.com/schmalfilm-blog.html;0;0;0;0;0;5
Ultimaker 2;https://twitter.com/Ultimaker;0;https://community.ultimaker.com;0;https://github.com/ultimaker/Ultimaker2/issues;0;0;0;0;5
Fab@Home;0;https://en.wikipedia.org/wiki/Fab@Home;0;0;https://github.com/karlgluck/fabathome/issues/1;0;0;0;0;5
OpenPCR;https://twitter.com/openpcr;0;0;https://openpcr.org/blog/;0;0;0;0;0;5
Open ECG;0;0;0;;0;0;0;0;0;5
Uzebox;0;http://uzebox.org/wiki/Main_Page;http://uzebox.org/forums/;0;https://github.com/Uzebox/uzebox/issues;0;0;0;https://www.thingiverse.com/thing:569226;5
apertuså¡ AXIOM Beta;https://twitter.com/apertusoscinema;https://wiki.apertus.org/index.php/Main_Page;0;0;0;https://www.apertus.org/irc-chat;0;0;0;5
UPSat;https://twitter.com/upsat_gr;0;0;0;0;0;0;0;0;5
Tympan;https://twitter.com/Tympanorg;0;https://forum.tympan.org;https://tympan.org/blog/;0;0;0;0;0;5
Turbidimeter;0;0;0;0;https://github.com/wash4all/open-turbidimeter-project/issues;0;0;0;0;5
The Open Microscope;0;0;0;0;https://github.com/OpenLabTools/OpenLabTools/issues;0;0;0;0;5
Tantillus;0;https://reprap.org/wiki/RepRap;https://reprap.org/forum/list.php?279;0;https://github.com/Intrinsically-Sublime/Tantillus/issues;https://reprap.org/wiki/IRC;0;0;0;5
Shybo;https://twitter.com/OSFSupport;https://osf.io/xk2r4/wiki/home/;0;0;0;0;0;0;0;5
Sensorica's PV characterization;0;;http://www.sensorica.co/home/forum;http://sensoricablog.blogspot.com;0;0;0;0;0;5
SECU-3;0;0;http://secu-3.org/forum/?lang=en;0;0;0;0;0;0;5
Retr3D;0;0;0;0;https://github.com/Maaphoo/Retr3d/issues;0;0;0;0;5
Raidlight Responsiv 3L;0;0;0;0;https://github.com/Raidlight/Projet-Pilote-Open-Source/issues;0;0;0;0;5
OpenFlexure Microscope;0;0;0;0;https://github.com/rwb27/openflexure_microscope/issues;0;0;0;0;5
OpenFeeder;0;0;0;0;0;0;0;0;0;5
OpenEVSE;https://twitter.com/OpenEVSE/;0;https://openev.freshdesk.com/support/discussions;0;0;0;0;0;0;5
Open.Theremin;0;0;0;0;https://github.com/GaudiLabs/OpenTheremin_V3_Shield/issues;0;0;0;0;5
Mutable Instruments - Grid;https://twitter.com/mutable_instrum;0;https://forum.mutable-instruments.net;0;0;0;0;0;0;5
Laboratory Sample Rotator;0;0;0;0;0;0;0;0;0;5
Hexayurt;0;0;0;0;0;0;0;0;0;5
FluoPi;0;0;0;0;0;0;0;0;0;5
EQ-1 Headphones;0;0;0;0;0;0;0;0;https://www.thingiverse.com/thing:674179;5
Dtto Modular Robot;0;0;0;https://hackaday.io/project/9976-dtto-explorer-modular-robot;0;0;0;https://v1.wevolver.com/alberto.kl/dtto-modular-exploration-robot/electronics/files/p1557m12141f2962620;0;5
CubeFactory2;0;0;0;0;0;0;0;0;0;5
CNC1;https://twitter.com/oomlout;0;0;0;0;0;0;0;0;5
Basiswerk OM 10 clockwork;0;0;https://www.openmovement.org/?forum;0;0;0;0;0;0;5
Archivist;0;0;0;0;https://github.com/DIYBookScanner/spreads/issues;0;0;0;0;5
Air Quality Egg;0;0;0;0;0;0;0;0;0;5
Ai.Frame Apollo;0;0;0;0;0;0;0;0;https://www.thingiverse.com/thing:578909;5
Velocar;https://twitter.com/_velodesign;0;0;http://www.velo-design.com;0;0;0;0;0;4
Hovalin;0;0;0;0;0;0;0;https://v1.wevolver.com/wevolver.staff/open-wheels/chassis/description;0;4
Open wheels;0;0;0;0;0;0;0;0;0;4
LuzBot Taz 5;https://twitter.com/lulzbot3d;0;https://forum.lulzbot.com;0;https://github.com/bqlabs/horus/pulls;0;0;0;0;4
BioNico;0;0;0;0;0;0;0;https://v1.wevolver.com/wevolver.staff/bionico/main/description;0;4
Andre cars;0;0;0;https://grabcad.com/library/andre-cars-inverter-sportscar-1/details?folder_id=1023818;0;0;0;0;0;4
Zoetrope;0;0;0;0;0;0;0;0;0;4
Protei;0;0;0;0;https://github.com/Scoutbots/Protei/issues;0;0;0;0;4
BCN3D Moveo;0;0;0;https://www.bcn3dtechnologies.com/en/bcn3d-moveo-the-future-of-learning/;https://github.com/BCN3D/BCN3D-Moveo/issues;0;0;0;0;4
Helium;0;0;0;0;https://github.com/blueshiftPDX/Helium/issues;0;0;0;0;4
SolarFlower;https://www.facebook.com/groups/solarflower.org/;0;http://solarflower.forumactif.com;http://solarflower.blogspot.com;0;0;0;0;0;4
pwdr;0;0;0;0;0;0;0;0;0;4
Electric Vehicle;0;0;0;https://www.instructables.com/id/Electric-Vehicle-A-simple-lightweight-EV-platform-/;0;0;0;0;0;4
Gesture Keyboard;0;0;0;https://www.instructables.com/id/DIY-a-Gesture-Keyboard-That-Can-Control-the-Media-/;0;0;0;0;0;4
uArm Metal;https://www.facebook.com/groups/1653721141585397/   https://twitter.com/UFACTORY_UF;0;https://forum.ufactory.cc;https://grabcad.com/library/uarm-1/details?folder_id=661218;https://github.com/uArm-Developer/uArm-Python-SDK/issues;0;0;0;0;4
Photometric System for Enzymatic Nitrate Quantification;0;http://www.appropedia.org/Open-Source_Photometric_System_for_Enzymatic_Nitrate_Quantification;0;https://www.youmagine.com/designs/photometer-for-nitrate-testing;0;0;0;0;0;4
Model T (Yale OpenHand Project);0;0;0;0;https://github.com/grablab/openhand-hardware/issues;0;0;0;0;4
MAKI robot;0;0;0;0;0;0;0;https://www.wevolver.com/wevolver.staff/maki-robot/master/tree;0;4
orbSWARM;0;http://wiki.orbswarm.com;0;http://blog.orbswarm.com;0;0;0;0;0;4
OpenBCI;https://twitter.com/OpenBCI;0;https://openbci.com/index.php/forum/;https://openbci.com/community/;https://github.com/OpenBCI/Ultracortex/issues;0;0;0;0;4
e-puck;0;0;0;0;0;0;0;0;0;4
KidCareTV;0;https://bitbucket.org/emone_th/kidcaretv/wiki/Home;0;0;0;0;0;0;0;4
blink(1);https://twitter.com/thingm;0;0;0;https://github.com/todbot/blink1/issues;0;0;0;0;4
PiKon;https://twitter.com/PiKonCamera;0;0;0;0;0;0;0;0;4
Do-It-Yourself SLS Printe;0;0;0;https://www.instructables.com/id/DIY-SLS-3D-Printer/;0;0;0;https://v1.wevolver.com/wevolver.moderator/diy-sls-3d-printer/part-2/description;0;4
Thor;0;0;0;https://hackaday.io/project/12989-thor;https://github.com/AngelLM/Thor/issues;0;0;0;0;4
Faraday Motion Spine;0;0;http://forum.faradaymotion.com;0;0;0;0;0;0;4
OpenFeeder;0;0;0;0;0;0;0;0;0;4
Pigott wind turbine;0;0;0;http://scoraigwind.co.uk;0;0;0;0;0;4
FlexBot;https://twitter.com/flexlabshare;http://www.flexbot.cc/wiki/index.php?title=Main_Page;0;0;https://github.com/HexAirbot;0;0;0;0;4
OSVehicle - Tabby evo;https://twitter.com/openmotors;0;0;0;0;0;0;0;0;3
XYZ ONESEATER;0;0;0;0;0;0;0;0;0;3
Multimachine;0;0;0;http://opensourcemachine.org;0;0;0;0;0;3
ÊLyman Filament Extruder V6;0;0;0;0;0;0;0;0;https://www.thingiverse.com/thing:1199870;3
InMoov;https://twitter.com/InMoov;0;https://groups.google.com/forum/#!forum/inmoov;0;0;0;http://inmoov.fr/activity/;0;0;3
_Delta;https://twitter.com/emotiontech;0;0;0;0;0;0;0;0;3
NimbRo-OP;0;0;0;0;0;0;0;0;0;3
table ˆ langer;0;0;0;0;0;0;0;0;0;3
Bicycle mill;https://www.facebook.com/#/group.php?gid=175005271970;0;0;http://www.mayapedal.org/machines.en;0;0;0;0;0;3
Coffee Detonator;0;0;0;0;0;0;0;0;0;3
Plan B;0;0;"https://ytec3d.com/forum-index/     ;https://ytec3d.com/forum/index.php";https://ytec3d.com/category/blog/;0;0;0;0;0;3
mobilecg;0;0;0;0;https://github.com/xdever/MobilECG-II/issues;0;0;0;0;3
OPenT;0;0;0;0;0;0;0;0;0;3
plants & machines;https://twitter.com/plants_machines;0;0;0;https://github.com/plantsandmachines;0;0;0;0;3
HIEBO 4 lamp;0;0;0;0;0;0;0;0;0;3
watering system S…REN;0;0;0;https://gruenestadtplanung.wordpress.com/5_bewasserung/;0;0;0;0;0;3
Pisteur solaire - Entropie;0;0;0;0;0;0;0;0;0;3
DŽrouleuse ˆ plastique;https://twitter.com/atelierpaysan;0;http://forum.latelierpaysan.org;0;0;0;0;0;0;3
elphel Eyesis4Pi 393;0;0;0;0;0;0;0;0;0;3
Openmoko;0;http://wiki.openmoko.org/wiki/Main_Page;0;0;0;0;http://wiki.openmoko.org/wiki/Talk:Main_Page;0;0;3
OSVR-HDK2;https://twitter.com/opensource_vr;0;0;0;https://github.com/OSVR/OSVR-HDK/issues;0;0;0;0;3
OF1 Openfoil;https://www.facebook.com/Openfoil/;0;0;0;0;0;0;0;0;3
LiveWire;0;0;0;0;0;0;0;https://v1.wevolver.com/miebi.sikoki/livewire/main/description;0;3
MeeBlip Triode;https://twitter.com/meeblip;0;0;0;0;0;0;0;0;3
Field Ready Lifting Airbag System;0;0;0;0;0;0;0;0;0;3
ÊMaker Plane;0;0;http://www.makerplane.org/forum/;0;0;0;0;0;0;3
Zoybar;0;0;0;0;0;0;0;0;0;2
VIA OpenBook;0;https://en.wikipedia.org/wiki/VIA_OpenBook;0;0;0;0;0;0;0;2
Local motors' Rallye Fighter;0;0;0;https://launchforth.io/blog/;0;0;0;0;0;2
Open structures' OpenCargoBike;0;0;0;http://blog.openstructures.net/pages/blog;0;0;0;0;0;2
eCorolla;0;0;0;0;0;0;0;0;0;2
Bloombot;0;0;http://bloombot.wikidot.com/forum:start;0;0;0;0;0;https://www.thingiverse.com/thing:1190;2
Automatic Bartender;https://www.twitter.com/OpenElectronics;0;0;0;0;0;0;0;0;2
open beam;0;0;0;0;0;0;0;0;https://www.thingiverse.com/OpenBeamUSA/designs;2
rBot;0;0;0;https://rbotcnc.wordpress.com;0;0;0;0;https://www.thingiverse.com/thing:1195229/;2
open source roaster;0;0;0;0;0;0;0;0;0;2
Kit zŽro Km;https://twitter.com/1083officiel;0;0;https://www.1083.fr/blog;0;0;0;0;0;2
Le Petit COOL;https://twitter.com/LaCoolCo;0;0;0;0;0;0;0;0;2
Tea Maker;0;0;0;0;0;0;0;0;0;2
POM;https://twitter.com/openmotors;https://elinux.org/OSVehicle;0;0;0;0;0;0;0;2
Hard Drive Centrifuge;https://www.facebook.com/mrgaudi;0;0;http://www.gaudi.ch/GaudiLabs/;0;0;0;0;0;2
Aquapioneers Indoor Aquaponics Kit;https://twitter.com/aquapioneers;0;0;0;0;0;0;0;0;2
Parabolic solar hot water heater;0;http://www.appropedia.org/Anisa_Foundation_parabolic_solar_hot_water_heater;0;0;0;0;0;0;0;2
OpenPipe;https://twitter.com/openpipe;0;0;http://openpipe.cc/blog/;0;0;0;0;0;2
AguaClara;https://twitter.com/aguaclarah2o;0;0;0;0;0;0;0;0;2
axCut;0;0;0;http://axrap.blogspot.com;https://github.com/Axford/axCut/issues;0;0;0;0;2
FLOAT Beijing;0;0;0;0;0;0;0;0;0;2
Toolbox for Opto-Mechanical Components;0;0;0;0;0;0;0;0;https://www.thingiverse.com/thing:1657865/#files;2
Open Energy Monitor emonPi;https://twitter.com/Openenergymon;0;https://community.openenergymonitor.org;https://blog.openenergymonitor.org;https://github.com/openenergymonitor/emonpi/pulls;0;0;0;0;2
Parabolic solar hot water heater;0;http://www.appropedia.org/Anisa_Foundation_parabolic_solar_hot_water_heater_design;0;0;0;0;0;0;0;2
Hughski;0;0;0;0;0;0;0;0;0;2
Nixie Pipe;0;0;0;0;0;0;0;0;0;2
Neuroon;0;0;0;0;0;0;0;0;0;2
Thunderhead;0;0;0;0;0;0;0;0;0;2
Solarcast;0;0;0;0;https://github.com/Safecast/Solarcast/issues;0;0;0;0;2
Automated external defibrillator;0;0;0;0;0;0;0;0;0;2
LifeTrac 6;0;0;;0;0;0;0;0;0;2
OScar;0;https://en.wikipedia.org/wiki/OScar;0;0;0;0;0;0;0;1
c,mm,n;0;http://wiki.p2pfoundation.net/C,mm,n;0;0;0;0;0;0;0;1
OSWash;0;0;0;http://www.oswash.org;0;0;0;0;0;1
osloom;https://www.facebook.com/login.php?login_attempt=1&next=https%3A%2F%2Fwww.facebook.com%2Fgroups%2Fosloom%2F&lwv=100;0;0;0;0;0;0;0;0;1
Double Pendulum;https://twitter.com/imaginary_math;0;0;0;0;0;0;0;0;1
The Fair Cap;https://twitter.com/thefaircap?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Eprofile%3Athefaircap&ref_url=http%3A%2F%2Ffaircap.org%2F;0;0;http://faircap.org/blog/;0;0;0;0;0;1
VŽlo M_;https://www.facebook.com/velom2/?ref=nf&hc_ref=ARRrEpUKnZL3qqm78NT6X_MqsHTPk5G8UYNkzm9zf354av8QZ4pGSMllJyA80xuOaOk;0;0;0;0;0;0;0;0;1
Xmaran;0;http://xmaran.org/tiki-index.php;http://xmaran.org/tiki-forums.php;0;0;0;0;0;0;1
Self Balancing Scooter;0;0;0;0;0;0;0;0;0;1
Pico Cross Flow;0;0;0;0;0;0;0;0;0;1
OpenQCM;https://twitter.com/openqcm;0;0;https://openqcm.com/blog;0;0;0;0;0;1
Open Spin Microscopy;0;0;0;0;0;0;0;0;0;1
Metal-Cutting-CNC;0;0;0;0;0;0;0;0;0;1
OpenBikeWorks' HubJohn;0;0;0;http://openbikeworks.blogspot.com;0;0;0;0;0;1
Pico Cross Flow;0;0;0;0;0;0;0;0;0;0
OpenWaterbike;0;0;0;0;0;0;0;0;0;0
Eliodomestico;0;0;0;0;0;0;0;0;0;0
Rasa;https://twitter.com/riversimple;0;0;0;0;0;0;0;0;0
EDAG Light Car;https://www.facebook.com/edag.group;0;0;0;0;0;0;0;0;0
UV-mask;0;https://www.ohwr.org/projects/uv-mask/wiki;0;0;0;0;0;0;0;0
Qrokee;https://twitter.com/qrokee?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Eprofile%3Aqrokee&ref_url=http%3A%2F%2Fwww.qrokee.com%2Findex_en.html;0;0;0;0;0;0;0;0;0
Oggœn iron horse tractor;https://twitter.com/OggunTractor;0;0;0;0;0;0;0;0;0
Waterzilla;0;0;0;0;0;0;0;0;0;0
Two-Stroke Diesel Engine;0;0;0;https://hackaday.io/project/10670-open-source-two-stroke-diesel-engine;0;0;0;0;0;0
Tinker bike;0;0;0;0;0;0;0;0;0;0
